###############################################################################
t: Sun Jan  1 00:00:41 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1082    normal     1082    user5 PD       0:00      1 (Priority)
              1083    normal     1083    user4 PD       0:00      3 (Priority)
              1084    normal     1084    user5 PD       0:00      1 (Priority)
              1085    normal     1085    user5 PD       0:00      1 (Priority)
              1086    normal     1086    user4 PD       0:00      3 (Priority)
              1087    normal     1087    user1 PD       0:00      1 (Priority)
              1088    normal     1088    user2 PD       0:00      3 (Priority)
              1089    normal     1089    user4 PD       0:00      1 (Priority)
              1045    normal     1045    user2  R      18:38      1 g1
              1046    normal     1046    user1  R      19:20      1 n4
              1057    normal     1057    user4  R      19:24      1 n4
              1061    normal     1061    user2  R      17:10      3 n[1-3]
###############################################################################
t: Sun Jan  1 01:25:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1066    normal     1066    user4 PD       0:00      4 (Resources)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
              1079    normal     1079    user2 PD       0:00      1 (Priority)
              1081    normal     1081    user4 PD       0:00      1 (Priority)
              1083    normal     1083    user4 PD       0:00      3 (Priority)
              1084    normal     1084    user5 PD       0:00      1 (Priority)
              1085    normal     1085    user5 PD       0:00      1 (Priority)
              1086    normal     1086    user4 PD       0:00      3 (Priority)
              1087    normal     1087    user1 PD       0:00      1 (Priority)
              1089    normal     1089    user4 PD       0:00      1 (Priority)
              1090    normal     1090    user4 PD       0:00      1 (Priority)
              1091    normal     1091    user3 PD       0:00      4 (Priority)
              1092    normal     1092    user4 PD       0:00      2 (Priority)
              1093    normal     1093    user3 PD       0:00      1 (Priority)
              1094    normal     1094    user5 PD       0:00      1 (Priority)
              1061    normal     1061    user2  R      22:10      3 n[1-3]
              1067    normal     1067    user5  R       4:20      1 b5
              1075    normal     1075    user2  R       4:20      1 b10
              1080    normal     1080    user4  R       4:20      4 m[1-4]
              1082    normal     1082    user5  R       4:20      1 b4
              1088    normal     1088    user2  R       4:20      3 b[6-8]
###############################################################################
t: Sun Jan  1 01:30:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1066    normal     1066    user4 PD       0:00      4 (Resources)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
              1079    normal     1079    user2 PD       0:00      1 (Priority)
              1081    normal     1081    user4 PD       0:00      1 (Priority)
              1083    normal     1083    user4 PD       0:00      3 (Priority)
              1084    normal     1084    user5 PD       0:00      1 (Priority)
              1085    normal     1085    user5 PD       0:00      1 (Priority)
              1086    normal     1086    user4 PD       0:00      3 (Priority)
              1087    normal     1087    user1 PD       0:00      1 (Priority)
              1089    normal     1089    user4 PD       0:00      1 (Priority)
              1090    normal     1090    user4 PD       0:00      1 (Priority)
              1091    normal     1091    user3 PD       0:00      4 (Priority)
              1092    normal     1092    user4 PD       0:00      2 (Priority)
              1093    normal     1093    user3 PD       0:00      1 (Priority)
              1094    normal     1094    user5 PD       0:00      1 (Priority)
              1095    normal     1095    user3 PD       0:00      1 (Priority)
              1096    normal     1096    user5 PD       0:00      1 (Priority)
              1097    normal     1097    user1 PD       0:00      1 (Priority)
              1098    normal     1098    user3 PD       0:00      1 (Priority)
              1099    normal     1099    user1 PD       0:00      1 (Priority)
              1100    normal     1100    user2 PD       0:00      1 (Priority)
              1102    normal     1102    user5 PD       0:00      1 (Priority)
              1061    normal     1061    user2  R      27:10      3 n[1-3]
              1080    normal     1080    user4  R       9:20      4 m[1-4]
              1082    normal     1082    user5  R       9:20      1 b4
              1088    normal     1088    user2  R       9:20      3 b[6-8]
              1101    normal     1101    user3  R       0:09      8 b[1-3,5,9-10],g1,n4
###############################################################################
t: Sun Jan  1 01:35:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
              1079    normal     1079    user2 PD       0:00      1 (Priority)
              1081    normal     1081    user4 PD       0:00      1 (Priority)
              1083    normal     1083    user4 PD       0:00      3 (Resources)
              1084    normal     1084    user5 PD       0:00      1 (Priority)
              1085    normal     1085    user5 PD       0:00      1 (Priority)
              1086    normal     1086    user4 PD       0:00      3 (Priority)
              1087    normal     1087    user1 PD       0:00      1 (Priority)
              1089    normal     1089    user4 PD       0:00      1 (Priority)
              1090    normal     1090    user4 PD       0:00      1 (Priority)
              1091    normal     1091    user3 PD       0:00      4 (Priority)
              1092    normal     1092    user4 PD       0:00      2 (Priority)
              1093    normal     1093    user3 PD       0:00      1 (Priority)
              1094    normal     1094    user5 PD       0:00      1 (Priority)
              1095    normal     1095    user3 PD       0:00      1 (Priority)
              1096    normal     1096    user5 PD       0:00      1 (Priority)
              1097    normal     1097    user1 PD       0:00      1 (Priority)
              1098    normal     1098    user3 PD       0:00      1 (Priority)
              1099    normal     1099    user1 PD       0:00      1 (Priority)
              1100    normal     1100    user2 PD       0:00      1 (Priority)
              1102    normal     1102    user5 PD       0:00      1 (Priority)
              1103    normal     1103    user3 PD       0:00      1 (Priority)
              1104    normal     1104    user3 PD       0:00      2 (Priority)
              1105    normal     1105    user1 PD       0:00      1 (Priority)
              1106    normal     1106    user1 PD       0:00      1 (Priority)
              1107    normal     1107    user2 PD       0:00      1 (Priority)
              1108    normal     1108    user5 PD       0:00      1 (Priority)
              1066    normal     1066    user4  R       1:33      4 n[1-4]
              1082    normal     1082    user5  R      14:20      1 b4
###############################################################################
t: Sun Jan  1 01:40:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
